Coordinates,Pair,Species,Genus,Family,Strategy,Plant,Sample,Original mass,Dry mass,Volume,Density,Moisture ,Ignition_Time,Obs_Burn_Time,Burn_Time,Completion,Completion_binary,Dry mass reading,Tape Mass,Comments
"35°32'45.7""S 150°22'20.2""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,1,1,0.6,0.28,0.5,0.56,0.32,11.92,63,51.08,complete,1,0.34,0.06,
"35°32'45.7""S 150°22'20.2""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,1,2,0.61,0.29,0.49,0.591836735,0.32,1.52,43,41.48,complete,1,0.34,0.05,
"35°32'45.0""S 150°22'11.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,2,1,0.61,0.32,0.52,0.615384615,0.29,1.49,90,88.51,complete,1,0.34,0.02,
"35°32'45.0""S 150°22'11.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,2,2,0.78,0.67,0.93,0.720430108,0.11,0,74,74,complete,1,0.72,0.05,
"35°32'45.0""S 150°22'11.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,2,3,0.33,0.24,0.37,0.648648649,0.09,3.19,48,44.81,complete,1,0.28,0.04,
"35°32'45.0""S 150°22'11.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,2,4,0.53,0.23,0.46,0.5,0.3,3.45,46,42.55,complete,1,0.28,0.05,
"35°32'45.0""S 150°22'11.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,2,5,0.49,0.23,0.39,0.58974359,0.26,4.58,66,61.42,complete,1,0.3,0.07,
"35°32'44.5""S 150°22'10.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,3,1,0.31,0.26,0.35,0.742857143,0.05,0,47,47,complete,1,0.3,0.04,
"35°32'44.5""S 150°22'10.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,3,2,0.63,0.29,0.54,0.537037037,0.34,1.68,85,83.32,complete,1,0.34,0.05,
"35°32'44.5""S 150°22'10.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,3,3,0.42,0.21,0.34,0.617647059,0.21,1.28,86,84.72,complete,1,0.25,0.04,
"35°32'44.5""S 150°22'10.6""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,3,5,0.51,0.24,0.42,0.571428571,0.27,1.78,62,60.22,complete,1,0.3,0.06,
"35°32'44.5""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,4,2,0.47,0.24,0.4,0.6,0.23,0,49,49,complete,1,0.27,0.03,
"35°32'44.5""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,4,3,0.27,0.11,0.23,0.47826087,0.16,1.27,27,25.73,complete,1,0.16,0.05,
"35°32'44.5""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,4,4,0.38,0.17,0.32,0.53125,0.21,1.39,43,41.61,complete,1,0.23,0.06,
"35°32'44.8""S 150°22'10.4""E",3,Hakea_eriantha,Hakea,Proteaceae,Seeder,5,1,0.54,0.26,0.45,0.577777778,0.28,1.02,53,51.98,complete,1,0.32,0.06,
